label,precision,recall,f1,support
IntentMovie,1.0,1.0,1.0,269
IntentTvSeries,1.0,1.0,1.0,104
Theme,0.0,0.0,0.0,0
Genre,1.0,1.0,1.0,217
CastAndCrew,0.8846153846153846,1.0,0.9387755102040817,23
TVSeriesName,0.0,0.0,0.0,0
MovieName,0.0,0.0,0.0,0
StreamingService,1.0,1.0,1.0,49
Recency,1.0,1.0,1.0,27
Popularity,1.0,1.0,1.0,4
ReleaseYear,1.0,1.0,1.0,93
Decade,1.0,1.0,1.0,41
FreeContent,1.0,1.0,1.0,8
AudioLanguage,1.0,1.0,1.0,52
Franchise,1.0,1.0,1.0,55
Holiday,1.0,1.0,1.0,43
Sport,1.0,1.0,1.0,12
Character,1.0,1.0,1.0,30
